x,y,yaw,v
3.484521,-0.115144,-0.012161,2.023967
3.484521,-0.115144,-0.012161,2.023967
3.504756,-0.115501,-0.013195,2.023835
3.504756,-0.115501,-0.013195,2.023835
3.524991,-0.115863,-0.014058,2.023729
3.545224,-0.116258,-0.015092,2.023643
3.545224,-0.116258,-0.015092,2.023643
3.565456,-0.116658,-0.015954,2.023573
3.565456,-0.116658,-0.015954,2.023573
3.585687,-0.117092,-0.016988,2.023516
3.585687,-0.117092,-0.016988,2.023516
3.605916,-0.117531,-0.01785,2.023327
3.605916,-0.117531,-0.01785,2.023327
3.626143,-0.118002,-0.018884,2.023174
3.626143,-0.118002,-0.018884,2.023174
3.646369,-0.118479,-0.019745,2.023049
3.646369,-0.118479,-0.019745,2.023049
3.666592,-0.118989,-0.020779,2.022949
3.686815,-0.119505,-0.021641,2.022867
3.707036,-0.120053,-0.022675,2.022801
3.727257,-0.120607,-0.023536,2.022987
3.727257,-0.120607,-0.023536,2.022987
3.747479,-0.121194,-0.02457,2.023165
3.747479,-0.121194,-0.02457,2.023165
3.767703,-0.121786,-0.025431,2.023333
3.787928,-0.122411,-0.026464,2.023494
3.808154,-0.123042,-0.027326,2.023647
3.82838,-0.123705,-0.028359,2.023793
3.82838,-0.123705,-0.028359,2.023793
3.82838,-0.123705,-0.028359,2.023793
3.848607,-0.124375,-0.029221,2.023932
3.848607,-0.124375,-0.029221,2.023932
3.868835,-0.125077,-0.030254,2.024064
3.868835,-0.125077,-0.030254,2.024064
3.868835,-0.125077,-0.030254,2.024064
3.889064,-0.125784,-0.031116,2.02419
3.909293,-0.126524,-0.032149,2.02431
3.909293,-0.126524,-0.032149,2.02431
3.909293,-0.126524,-0.032149,2.02431
3.929524,-0.127271,-0.033011,2.024523
3.929524,-0.127271,-0.033011,2.024523
3.949755,-0.128049,-0.034045,2.024727
3.949755,-0.128049,-0.034045,2.024727
3.949755,-0.128049,-0.034045,2.024727
3.969989,-0.128808,-0.034614,2.024921
3.969989,-0.128808,-0.034614,2.024921
3.990227,-0.129507,-0.034421,2.025105
3.990227,-0.129507,-0.034421,2.025105
4.010468,-0.130181,-0.034055,2.025281
4.030711,-0.130809,-0.033315,2.025448
4.050957,-0.131422,-0.032627,2.025607
4.071206,-0.131996,-0.031698,2.025759
4.071206,-0.131996,-0.031698,2.025759
4.071206,-0.131996,-0.031698,2.025759
4.091457,-0.13256,-0.0309,2.025904
4.091457,-0.13256,-0.0309,2.025904
4.111709,-0.133088,-0.029904,2.026042
4.111709,-0.133088,-0.029904,2.026042
4.111709,-0.133088,-0.029904,2.026042
4.131964,-0.133607,-0.029066,2.026173
4.131964,-0.133607,-0.029066,2.026173
4.152221,-0.134092,-0.028047,2.026354
4.152221,-0.134092,-0.028047,2.026354
4.152221,-0.134092,-0.028047,2.026354
4.172479,-0.13457,-0.027194,2.026527
4.172479,-0.13457,-0.027194,2.026527
4.192741,-0.135014,-0.026166,2.026691
4.192741,-0.135014,-0.026166,2.026691
4.192741,-0.135014,-0.026166,2.026691
4.213004,-0.135452,-0.025307,2.026847
4.213004,-0.135452,-0.025307,2.026847
4.233269,-0.135856,-0.024275,2.026997
4.233269,-0.135856,-0.024275,2.026997
4.233269,-0.135856,-0.024275,2.026997
4.253536,-0.136255,-0.023414,2.027139
4.253536,-0.136255,-0.023414,2.027139
4.273804,-0.13662,-0.022381,2.027274
4.273804,-0.13662,-0.022381,2.027274
4.273804,-0.13662,-0.022381,2.027274
4.294075,-0.136979,-0.021518,2.027403
4.294075,-0.136979,-0.021518,2.027403
4.314347,-0.137305,-0.020484,2.027525
